price,promo,season,competitor_price,ad_spend,demand
34.84,1,peak,39.23,6548,2019
37.99,0,low,37.07,9759,1232
18.65,0,peak,17.87,7478,2498
26.54,0,mid,27.83,7181,1897
19.24,1,mid,18.76,5673,1887
23.14,0,mid,23.85,6475,1872
35.82,1,peak,39.72,11522,2003
22.2,0,mid,23.07,5151,1600
23.28,1,low,24.21,9802,1734
19.34,1,peak,20.24,8118,2408
31.88,1,low,28.52,8612,1465
5.42,0,mid,5.75,6169,2618
22.34,1,mid,23.3,7121,2177
24.72,0,peak,27.23,7986,2325
21.03,1,mid,22.68,6698,2083
30.18,0,low,30.6,8829,1493
32.21,0,mid,35.84,9144,1613
16.53,0,low,16.64,13432,1974
37.56,1,mid,39.43,8695,1693
16.46,0,mid,16.54,3219,1799
32.73,0,peak,34.92,10908,2381
25.9,0,low,25.9,7490,1587
21.98,1,low,25.53,13030,1822
22.54,0,mid,26.86,11677,2173
24.8,0,low,27.28,6737,1723
26.25,0,low,30.27,9805,1753
19.48,0,low,17.66,6515,1664
23.6,0,mid,21.62,8007,1919
20.38,1,low,20.46,9690,1877
17.71,1,mid,18.3,10783,2323
20.1,0,peak,20.38,10238,2799
18.1,0,mid,16.27,8187,2293
22.48,0,low,25.22,14209,1788
27.59,0,low,33.18,7087,1383
25.72,0,low,29.13,3982,1229
36.85,1,mid,41.15,4463,1225
11.74,0,mid,12.3,11685,2619
27.82,0,low,26.77,7808,1640
25.04,1,low,25.93,8398,1725
29.89,0,low,35.83,6644,1124
29.3,0,low,29.35,6868,1359
24.01,0,peak,23.86,6032,2221
26.04,0,low,29.12,9178,1356
20.54,1,low,23.08,7757,1681
28.68,1,low,27.6,9088,1782
13.73,0,low,13.85,8849,1823
29.66,0,low,29.36,6935,1361
24.86,0,mid,25.75,4353,1677
22.08,0,low,24.69,4136,1438
23.6,0,low,22.79,15567,1989
24.04,0,mid,26.86,11695,1943
32.78,0,mid,34.03,11350,1653
44.4,1,low,54.0,6313,791
32.32,1,peak,34.11,8024,1964
21.61,0,low,22.09,5962,1512
28.78,0,peak,30.97,4720,2235
29.04,0,peak,29.13,6528,2035
19.45,0,mid,17.24,11315,2393
17.44,0,low,17.62,10102,2100
24.62,0,peak,24.85,5575,2340
29.85,1,low,26.94,7213,1285
15.33,0,low,15.7,9873,1943
20.67,0,mid,17.88,6573,2073
28.44,0,mid,28.5,8199,2037
25.25,0,peak,26.5,9005,2290
33.5,0,mid,34.76,8977,1592
16.53,0,peak,16.48,8635,2741
39.11,1,mid,40.02,6366,1397
15.77,1,mid,15.26,6623,2265
12.83,1,mid,13.22,5166,2080
24.65,0,peak,25.5,4097,2052
18.19,0,peak,17.43,7713,2617
24.77,0,peak,26.04,10041,2612
24.56,0,peak,25.81,4549,2110
23.83,0,mid,24.22,8682,1986
19.95,1,low,24.41,9962,1685
27.6,0,peak,28.11,3408,2202
23.1,0,low,23.27,7324,1626
31.62,0,low,31.5,12116,1732
23.92,0,mid,22.78,9380,2062
19.21,0,mid,20.84,3324,1815
14.87,0,mid,14.5,9646,2196
23.97,0,low,23.6,6131,1258
17.38,0,low,17.16,9728,2110
16.9,1,low,16.08,6275,1809
28.16,0,low,25.06,7867,1553
14.33,0,low,14.23,6656,1730
33.47,0,mid,36.82,8008,1444
25.96,1,low,27.15,6582,1588
24.74,0,low,28.57,7441,1693
18.79,0,low,20.48,5061,1518
29.59,0,mid,31.71,9227,1866
24.98,0,peak,29.49,8438,2314
20.88,0,low,21.35,3959,1463
26.2,0,low,27.12,10482,1896
14.9,0,mid,15.34,7559,2179
15.19,1,low,17.52,8404,2073
18.28,0,peak,18.83,9911,2740
27.1,0,peak,26.5,8821,2341
24.98,0,mid,26.9,10913,2217
31.29,0,peak,30.19,7267,2148
19.48,0,mid,20.9,10586,2223
28.45,0,mid,30.24,8307,1942
24.32,0,low,24.68,9269,1828
19.34,1,low,20.8,9009,1977
27.31,0,low,24.88,11102,1272
24.6,1,mid,25.66,9804,2087
21.23,1,mid,21.08,6893,2027
25.25,0,low,31.79,6397,1345
24.22,0,mid,25.25,7876,1987
24.08,0,low,23.65,6100,1543
22.52,1,low,20.72,5370,1649
17.17,0,low,19.48,2680,1462
25.45,0,mid,25.5,4127,1846
20.18,0,mid,19.51,12964,2488
18.88,1,mid,19.95,6359,2092
23.56,0,low,25.49,12759,1942
29.4,0,mid,31.78,9008,1913
26.11,0,peak,26.94,7876,2415
21.81,0,low,22.75,4248,1439
21.57,1,mid,22.62,8012,2152
28.81,1,low,30.45,12730,1741
10.62,0,low,11.3,11894,2538
29.78,0,mid,33.29,8686,1850
13.76,1,low,14.23,5128,1740
16.51,0,mid,15.92,5607,2360
21.91,0,peak,22.32,5869,2075
38.02,0,low,41.45,11195,1329
35.06,0,low,31.1,12079,1473
29.24,1,peak,25.95,8490,2546
27.14,0,mid,29.95,7242,1769
13.83,0,peak,15.92,11872,2841
25.94,1,low,24.09,5554,1428
21.7,0,mid,22.53,8130,1936
20.1,1,peak,20.06,9157,2578
25.93,0,low,26.17,5843,1379
22.17,0,peak,23.38,6410,2244
30.22,0,mid,28.0,6216,1702
13.38,0,peak,12.6,11542,3037
25.45,0,low,25.6,12786,1734
19.73,0,mid,20.09,8287,1911
22.54,1,low,21.19,7329,1713
26.83,1,peak,29.33,6500,2233
18.3,0,low,18.23,8004,1909
25.99,0,low,25.89,6624,1536
23.73,0,peak,24.97,7757,2549
21.04,0,low,21.45,9033,1897
22.18,0,mid,24.33,6987,2232
24.07,1,low,23.0,7526,2001
20.39,1,mid,18.73,7536,1889
25.04,0,low,25.17,7206,1270
23.33,1,mid,24.14,6896,1908
21.33,0,mid,19.85,9905,2248
34.54,0,low,31.74,3573,1032
27.49,0,low,28.72,11936,1794
22.7,0,low,22.01,8339,1667
25.88,0,mid,23.64,9525,1937
18.84,1,low,20.86,9813,1822
22.38,0,low,21.92,6230,1556
23.08,0,low,25.89,5714,1560
17.52,0,mid,18.08,5419,1952
27.32,1,mid,28.79,7382,1751
21.97,0,mid,22.25,9748,2189
22.87,1,peak,18.7,6541,2420
21.59,1,mid,20.27,9520,2304
42.75,0,peak,43.61,2080,1251
21.02,0,mid,22.27,7036,1835
12.59,0,low,11.16,10918,2260
15.4,1,peak,15.8,7573,2724
29.56,0,peak,27.79,5927,2003
33.02,0,mid,34.63,6358,1665
20.91,0,low,21.5,500,1497
32.67,0,low,35.6,5470,1031
29.45,1,mid,32.85,10643,2046
23.86,1,mid,25.46,6543,1568
23.44,0,mid,25.75,6839,1983
26.09,0,low,26.14,2170,1093
30.26,0,mid,38.01,3923,1448
27.38,1,low,25.54,10975,1620
20.94,0,low,20.68,9543,1817
23.95,1,low,26.4,4756,1299
36.89,0,peak,40.22,6424,1752
26.51,0,mid,28.34,7927,2041
30.22,1,peak,32.75,5010,1947
28.24,0,mid,24.38,2990,1831
26.64,0,peak,30.83,7602,2144
25.65,0,mid,26.0,9432,2150
30.38,0,peak,34.32,9480,1981
29.31,1,peak,25.42,10188,2397
26.58,1,mid,27.93,4116,1553
20.84,1,low,20.52,8145,1948
27.31,0,mid,29.38,7329,1775
24.6,0,low,25.96,7782,1308
23.15,1,low,24.52,7471,1451
41.07,0,mid,38.83,6349,1177
15.77,1,peak,16.17,500,2350
30.75,0,low,31.23,10905,1645
19.82,0,low,21.2,8825,1752
25.79,0,peak,28.6,4289,1983
40.41,0,low,42.11,9183,1169
19.23,0,low,17.84,6882,1612
20.66,0,mid,21.45,6953,2043
24.89,1,peak,30.84,6079,2187
19.92,0,mid,23.14,9342,2076
30.3,0,mid,24.0,6000,1783
21.79,0,low,22.56,5258,1530
28.92,1,low,31.95,10829,1635
17.02,0,peak,17.29,7553,2442
14.16,1,peak,14.06,7631,2806
23.63,1,low,23.83,9731,1874
15.59,0,low,16.75,6331,1830
34.11,0,low,32.0,6830,1310
15.82,1,low,17.8,8764,1917
18.77,0,low,19.25,4147,1669
27.48,1,low,26.25,8553,1582
21.48,0,peak,24.06,6111,2175
15.89,0,low,14.4,10139,2160
37.24,0,mid,36.7,9367,1383
18.99,0,mid,18.69,9036,2227
23.82,1,peak,28.62,3983,2031
23.74,0,peak,23.16,7742,2341
29.26,1,low,25.1,5057,1381
27.77,0,low,27.31,7908,1406
20.04,1,mid,21.37,2212,1794
23.05,1,low,25.18,4148,1404
23.64,0,low,28.65,10973,1637
29.49,0,low,33.7,8923,1560
17.99,1,peak,18.8,7115,2574
37.11,1,low,35.58,5728,1149
20.44,0,mid,23.71,5289,2016
24.95,0,mid,24.96,8500,2115
18.04,1,mid,17.63,7141,2203
17.21,0,low,17.15,11867,2054
19.75,0,peak,18.37,7538,2367
19.18,0,mid,19.04,8147,2155
22.51,0,mid,22.77,4529,1920
19.13,1,low,20.82,7098,1763
29.17,0,peak,29.14,8442,1823
20.3,1,peak,18.85,7068,2615
19.64,0,low,17.71,6786,1850
22.64,0,low,23.7,8817,1659
30.96,0,low,32.07,11787,1700
26.29,0,low,25.91,8362,1645
24.4,1,low,24.22,10860,1717
16.4,0,low,17.4,9554,2112
18.14,1,low,20.71,10711,1802
17.33,0,peak,16.77,6476,2536
32.84,0,peak,34.06,7483,2006
28.18,0,peak,31.19,7493,2054
19.83,1,mid,19.19,9366,2245
21.61,0,mid,22.24,9981,2297
20.05,0,low,20.59,8313,1916
19.68,0,mid,18.21,10192,2349
27.76,0,low,28.97,6592,1176
23.27,0,mid,24.03,10213,1933
37.49,0,peak,40.28,10540,2034
32.5,1,peak,30.39,9694,2250
32.86,0,low,33.87,8335,1250
29.03,0,mid,33.11,9783,2028
22.46,0,low,26.87,5765,1464
28.59,1,low,32.37,8496,1497
22.91,0,low,21.44,8751,1851
34.78,0,low,37.08,4676,1004
27.43,1,mid,27.19,9186,2235
26.57,0,low,27.97,4878,1202
25.76,0,low,24.94,6930,1438
35.44,0,peak,31.65,8099,1958
16.4,0,mid,16.44,6173,2293
36.03,1,low,39.19,8206,1262
23.88,1,mid,25.15,8166,1891
16.56,1,mid,17.59,5950,1981
20.49,1,mid,21.46,9420,2323
15.1,1,mid,16.04,6090,2190
28.92,0,peak,31.01,13720,2688
18.77,0,low,18.92,7726,1776
26.01,0,mid,26.96,5072,1746
31.81,1,low,37.2,5539,1145
20.97,1,peak,21.84,10869,2594
23.39,1,low,24.17,6977,1565
17.18,0,low,17.84,4591,1499
22.67,0,peak,22.95,10134,2618
40.44,1,mid,40.25,6961,1425
29.67,0,low,31.05,9634,1611
23.41,0,low,23.17,10339,1866
21.33,0,low,21.72,8686,1731
24.74,0,peak,23.92,13990,2926
25.78,0,mid,26.78,3688,1716
22.49,1,low,24.21,5955,1700
28.18,1,mid,28.55,7360,1950
19.28,0,mid,16.76,13653,2490
19.25,0,low,20.74,12495,2073
27.22,1,peak,28.3,11222,2560
17.99,0,low,17.1,6015,1591
29.37,0,peak,32.07,6306,1911
24.91,0,peak,22.87,5929,2119
14.03,0,low,15.63,6041,1806
25.66,0,mid,26.31,11732,2063
14.89,1,peak,12.63,7391,2563
29.16,0,mid,30.45,7721,1745
23.51,0,mid,23.45,9936,2073
36.11,0,low,35.58,3841,1099
31.43,1,low,30.52,8132,1646
18.64,0,mid,19.01,5258,2021
12.88,0,low,12.76,7264,1884
20.47,0,low,18.04,6534,1782
17.67,1,mid,20.0,6405,2048
35.95,1,low,36.33,8564,1217
24.94,0,peak,24.23,8553,2301
30.6,0,peak,28.76,7450,2107
23.29,0,peak,25.42,8927,2406
23.92,1,low,22.15,5828,1642
24.8,1,mid,25.81,9704,2083
31.64,1,peak,31.11,7485,2339
26.87,0,low,26.55,6791,1534
18.66,0,mid,17.57,6013,2090
34.74,0,mid,34.05,7397,1515
23.24,1,low,23.96,12677,1806
22.27,0,low,23.35,7842,1581
8.02,0,mid,7.76,5139,2259
28.81,1,low,29.46,10297,1287
25.61,0,peak,28.19,6820,2090
25.6,1,mid,22.96,8709,2200
22.58,0,low,23.25,6486,1610
21.55,0,mid,20.56,11202,2203
22.78,0,mid,21.55,6523,1977
27.78,0,low,29.19,11495,1435
28.83,1,peak,28.44,5377,2123
23.61,0,mid,22.02,7268,2105
30.69,0,mid,34.87,11500,1828
24.53,0,peak,27.07,8420,2133
21.97,1,mid,19.24,13679,2385
26.19,1,mid,23.89,7327,2051
16.84,1,low,18.15,8643,1932
26.4,0,low,26.59,12763,1648
15.75,0,mid,18.11,4215,2249
18.83,0,mid,20.33,3906,1705
12.89,0,mid,13.58,6011,2177
23.95,0,mid,22.71,10033,1974
34.66,0,mid,37.06,3975,1163
24.3,0,peak,22.55,9493,2450
28.86,1,peak,32.74,9317,2316
39.11,0,low,41.61,13036,1498
27.42,1,peak,26.44,10614,2418
20.41,1,peak,22.33,8910,2429
21.23,0,low,25.68,11398,1889
25.0,0,low,25.32,9347,1720
21.2,1,low,22.77,6850,1664
21.65,0,mid,21.55,5138,1896
30.91,0,mid,32.05,6577,1586
31.16,0,mid,28.33,7900,1762
15.12,1,peak,15.57,8438,2714
20.09,1,low,20.76,2662,1570
22.22,1,low,26.08,7451,1858
28.59,0,peak,25.35,8071,2320
31.86,0,peak,32.1,9369,2191
41.21,1,peak,46.7,12067,1971
22.21,1,low,22.44,8464,1645
22.51,0,low,22.87,5726,1620
28.53,1,low,27.49,3455,1281
20.91,1,mid,19.97,9718,2148
24.15,0,low,21.35,5827,1649
22.51,0,peak,22.05,10167,2584
9.27,0,mid,8.81,11494,2568
25.74,1,mid,26.75,4140,1697
23.91,0,low,23.12,9385,1751
32.63,0,low,32.35,11232,1633
25.03,0,mid,24.88,10548,2170
17.47,1,mid,17.93,2759,1860
23.45,1,low,23.16,5866,1478
12.45,1,peak,11.77,4800,2634
17.73,0,low,18.39,9309,1948
28.81,0,low,32.14,9033,1505
23.52,0,peak,24.46,1255,2019
30.54,0,low,29.96,7248,1347
13.2,0,low,13.46,10002,2232
23.55,1,mid,20.39,8370,1988
22.15,0,low,22.56,8366,1996
30.74,0,low,30.67,7088,1422
29.04,0,low,27.74,5353,1176
28.85,1,low,27.98,7957,1505
34.25,0,mid,34.15,8130,1694
22.79,0,low,25.28,9538,1663
33.01,0,peak,36.88,9741,1922
18.73,0,peak,17.91,8215,2479
18.51,0,low,18.3,10737,2046
29.52,0,low,29.24,7063,1166
15.97,1,low,17.49,4390,1498
28.44,0,low,29.62,9193,1577
25.61,0,low,26.57,8316,1537
31.43,0,peak,33.72,9242,2075
24.64,0,low,24.21,4839,1357
25.34,0,mid,28.86,12477,1925
28.06,0,mid,28.89,9776,1956
21.02,1,peak,20.22,7280,2388
20.76,1,low,21.0,5661,1542
27.85,1,low,31.43,10693,1635
24.82,0,peak,24.72,5246,2167
22.56,1,low,24.95,13653,1895
24.5,1,mid,24.01,6467,1629
34.57,0,mid,33.49,12301,1904
22.34,0,mid,24.19,7539,1953
22.17,1,low,21.28,11952,1895
14.76,1,low,16.17,6163,1699
24.75,0,mid,26.18,8047,1899
28.94,0,mid,27.79,10012,1979
30.02,0,peak,30.75,9655,2276
25.65,0,mid,25.29,10752,2261
30.74,1,peak,32.52,6781,2148
29.39,0,peak,34.71,8212,2095
31.68,1,mid,31.69,11121,1975
30.91,1,low,33.15,6237,1251
34.42,0,mid,35.52,9431,1655
23.98,1,mid,24.75,7452,2076
17.04,1,mid,17.32,8515,2129
28.98,0,low,27.86,8211,1483
29.68,0,mid,31.37,6029,1742
34.42,1,low,34.66,7348,1267
32.69,0,low,31.3,8362,1321
36.67,0,peak,40.75,7743,1645
28.72,0,mid,29.81,11932,1727
26.37,0,mid,26.68,10525,2261
16.69,0,mid,18.98,8725,2241
26.85,0,mid,23.71,6092,1729
21.68,0,low,24.54,5940,1562
26.27,0,mid,25.21,12935,2074
25.33,1,low,26.52,5475,1377
27.83,0,mid,27.36,8285,1730
24.42,1,low,23.35,8902,1529
30.61,1,peak,34.75,7222,1795
8.66,0,peak,10.21,5494,2554
26.14,0,mid,26.46,6038,1873
32.21,0,low,34.05,6634,1095
36.22,1,low,37.47,6226,1143
29.39,0,mid,34.34,11319,1976
35.11,0,mid,30.23,7977,1659
26.01,0,mid,27.58,6690,1734
25.02,0,peak,24.31,8267,2401
28.18,1,mid,23.71,9670,1961
24.98,1,mid,25.01,7138,2026
20.31,0,mid,23.92,10255,2368
21.91,0,mid,21.42,4822,2016
18.33,0,mid,20.04,10928,2032
28.17,0,peak,31.72,7978,2119
25.07,0,low,25.79,7880,1561
22.84,0,low,23.74,6267,1594
21.6,1,low,19.28,4930,1377
28.03,0,peak,27.27,3833,1805
29.68,1,mid,32.73,6093,1751
18.22,0,low,18.85,9469,1831
17.27,0,mid,18.3,5597,1842
30.73,0,mid,31.98,4129,1325
16.75,0,peak,20.19,5727,2485
28.28,0,peak,28.16,7038,2086
34.7,1,peak,40.2,7136,1901
34.72,1,peak,36.13,7678,1868
29.43,1,low,34.3,10582,1296
29.25,0,low,27.26,11123,1834
38.51,0,mid,40.24,13014,1756
10.99,0,mid,10.98,3938,2122
22.21,1,low,23.13,5860,1491
30.09,1,mid,33.94,9746,1958
22.98,0,low,24.36,6865,1631
32.44,1,low,36.58,10152,1527
24.76,0,low,24.18,8518,1566
25.79,0,peak,24.87,11948,2589
23.35,0,mid,24.08,10607,2163
21.86,0,mid,22.45,10653,2106
21.72,1,peak,22.05,6970,2408
26.63,1,peak,25.38,7756,2256
20.35,0,low,22.91,7237,1699
30.72,0,peak,30.75,4235,1770
28.92,0,low,33.09,11679,1654
31.6,0,mid,32.58,9863,1814
18.23,0,low,19.72,7137,1716
14.8,0,mid,15.91,11261,2499
24.97,0,mid,24.08,6424,1795
42.39,0,low,44.91,3405,570
32.6,0,mid,38.6,10518,1745
21.67,1,mid,22.76,4804,1906
27.55,0,mid,30.36,7511,1679
29.37,0,low,31.88,8515,1342
16.79,0,low,17.71,8964,1890
33.22,1,low,34.71,10121,1347
24.0,0,peak,25.77,9452,2625
24.46,0,peak,26.68,9375,2450
25.14,1,low,23.18,6023,1520
31.87,1,mid,33.45,8736,1593
20.47,0,mid,20.78,4236,1930
14.76,0,peak,14.74,11905,2875
26.94,1,low,30.54,4494,1174
12.74,0,mid,12.37,7134,2392
23.19,0,mid,21.3,4703,1865
32.12,0,low,35.13,6175,866
28.47,0,low,26.09,8034,1494
31.25,0,low,27.37,6678,1380
28.72,0,mid,31.67,10861,1857
39.46,0,mid,41.15,8567,1428
21.47,0,mid,22.93,6843,1723
27.39,0,low,27.24,7666,1145
22.37,1,peak,20.56,11049,2567
30.74,0,low,28.75,10272,1594
24.63,0,peak,24.83,5153,1806
35.31,0,low,32.78,6298,1071
21.82,0,peak,23.01,9187,2283
33.44,0,peak,33.21,8883,2088
28.56,0,peak,29.84,5374,2282
24.81,1,peak,25.86,9873,2445
28.25,0,low,29.98,5773,1290
26.57,1,mid,28.43,11260,2137
27.14,1,mid,27.2,9324,1939
23.76,0,mid,24.82,5170,1742
20.79,0,peak,21.81,6677,2514
22.99,1,low,19.21,6634,1724
14.9,0,mid,16.12,8400,2303
30.05,1,peak,31.31,7490,2124
17.59,1,low,18.91,5136,1623
23.69,0,low,21.97,4514,1566
28.89,1,low,29.03,9373,1506
30.04,0,peak,28.31,8716,2404
14.35,0,peak,15.64,8264,2592
24.45,0,low,22.43,8677,1857
27.76,0,mid,26.53,6453,1807
25.31,1,mid,27.15,8460,1797
33.06,1,mid,32.39,14346,2106
20.07,0,mid,19.18,10936,2203
12.71,0,peak,14.01,7279,2720
29.86,0,low,33.02,6692,1215
21.78,0,low,23.69,849,1215
14.45,0,mid,15.86,10672,2529
24.05,0,mid,24.32,9967,2123
32.38,1,mid,32.82,6640,1449
17.42,0,low,17.04,4421,1515
39.02,0,low,40.71,5112,920
19.97,0,peak,19.73,9111,2644
25.52,0,low,25.4,7777,1475
17.69,0,mid,19.06,9729,2438
25.25,0,peak,28.4,8216,2394
24.2,0,low,25.69,10417,1653
16.06,1,low,18.85,8924,1829
41.95,0,low,40.85,10072,1111
22.03,0,mid,19.45,2776,1717
22.03,1,low,23.95,4914,1634
30.81,0,mid,29.84,7089,1795
35.89,1,low,36.18,10699,1382
31.76,0,low,28.21,12701,1783
17.79,0,low,17.05,7589,1926
26.28,0,low,23.91,6471,1503
13.71,0,low,13.65,3113,1736
30.41,1,peak,30.36,10159,2385
15.19,0,low,15.75,6625,1893
20.18,1,mid,22.79,15396,2400
24.98,1,mid,27.08,6151,1699
27.67,1,mid,24.91,13263,2176
23.43,1,mid,25.28,9871,1978
34.11,0,low,35.44,5429,908
29.34,0,mid,29.99,8580,1866
28.87,1,low,29.68,9928,1609
17.62,0,peak,18.44,7437,2402
35.2,0,low,34.3,10095,1343
20.18,0,mid,20.49,10040,2178
35.43,0,mid,39.84,9491,1573
37.13,1,mid,36.16,7959,1396
28.08,0,low,26.61,5063,1168
31.19,0,mid,31.97,7808,1733
6.5,1,mid,6.11,8440,2431
23.83,0,mid,21.26,3310,1698
31.61,1,low,31.69,8423,1356
30.55,0,low,35.0,7758,1272
17.68,0,low,18.16,4758,1667
23.24,0,peak,24.27,7167,2538
9.78,0,mid,8.41,7220,2236
27.48,0,mid,29.27,12825,2187
13.7,0,mid,14.21,8550,2032
31.78,0,mid,31.05,10590,2015
32.1,0,mid,33.52,7705,1375
22.15,0,mid,23.12,3315,2007
28.13,0,mid,26.59,9681,1890
23.7,1,low,25.04,6355,1678
26.45,1,peak,29.78,7161,2335
18.12,1,peak,18.33,5368,2399
28.73,0,mid,27.6,8182,1775
15.15,0,peak,15.39,10663,2754
14.02,0,peak,15.4,10332,2946
24.27,1,mid,22.62,11965,2179
23.73,1,mid,25.54,12320,2102
26.63,0,mid,25.99,2885,1628
21.1,0,low,22.14,5016,1414
36.31,1,low,35.76,3480,907
